network,station,latitude,longitude,elevation,start_date,channel_codes,instrument_types,has_strong_motion,vs30_ms,nehrp_site_class
KO,HKOY,40.892,35.9884,0.0,2013-12-06T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,900.0,B
KO,KRTL,40.9089,29.1987,83.0,2022-03-15T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,402.0,C
KO,LFK,35.2832,33.5335,690.0,2007-03-18T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,796.0,B
KO,CORM,40.1785,34.6302,1292.0,2004-12-15T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,605.0,C
KO,SLFK,36.3925,33.9464,54.0,2011-07-29T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,470.0,C
KO,BLVD,38.7946,31.095,1220.0,2019-07-10T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,504.0,C
KO,SPNC,40.686,30.3083,190.0,2008-06-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,532.0,C
KO,KULA,38.5145,28.6607,915.0,2007-02-20T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,515.0,C
KO,CEYT,37.0105,35.7478,100.0,2001-08-01T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,360.0,D
KO,KIYI,41.4844,28.2998,23.0,2011-01-12T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,600.0,C
KO,GRDE,40.7995,32.2116,0.0,2012-10-12T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,552.0,C
KO,EDRB,41.8469,26.7437,209.0,2002-03-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,407.0,C
KO,YUNK,38.806,31.7626,0.0,2012-11-12T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,337.0,D
KO,VANB,38.509,43.4056,1227.0,2001-10-11T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,548.0,C
KO,BNN,38.8521,35.8472,1380.0,2001-02-01T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,468.0,C
KO,GAZK,40.7479,27.3275,30.0,2019-12-23T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,608.0,C
KO,BRGA,40.8846,29.065,67.0,2012-04-04T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,600.0,C
KO,KMON,41.3738,33.7839,936.0,2013-09-25T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,564.0,C
KO,KRTS,36.573,35.375,53.0,2005-08-25T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,313.0,D
KO,HVHR,40.9699,28.8445,22.0,2010-12-01T00:00:00.000000Z,"BNE,BNN,BNZ,HNE,HNN,HNZ",strong_motion,True,337.0,D
KO,CRLT,41.129,27.736,230.0,2007-05-15T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,435.0,C
KO,MAEG,40.9653,27.9448,2.0,2021-06-20T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,255.0,D
KO,CAME,36.9435,29.3023,1391.0,2014-10-15T00:00:00.000000Z,"EHE,EHN,EHZ,HNE,HNN,HNZ","broadband,strong_motion",True,469.0,C
